User,User_type,Download (Rx) bandwidth (bps)_1,Rx packet loss (percent)_1,Upload (Tx) bandwidth (bps)_1,Tx packet loss (percent)_1,RTT (ping) (ms)_1,Rx packet loss burst length (packets)_1,Tx packet loss burst length (packets)_1,Rx instant jitter (ms)_1,Tx instant jitter (ms)_1,Rx RFC3550 jitter (ms)_1,Tx RFC3550 jitter (ms)_1,Download (Rx) bandwidth (bps)_2,Rx packet loss (percent)_2,Upload (Tx) bandwidth (bps)_2,Tx packet loss (percent)_2,RTT (ping) (ms)_2,Rx packet loss burst length (packets)_2,Tx packet loss burst length (packets)_2,Rx instant jitter (ms)_2,Tx instant jitter (ms)_2,Rx RFC3550 jitter (ms)_2,Tx RFC3550 jitter (ms)_2,Download (Rx) bandwidth (bps)_3,Rx packet loss (percent)_3,Upload (Tx) bandwidth (bps)_3,Tx packet loss (percent)_3,RTT (ping) (ms)_3,Rx packet loss burst length (packets)_3,Tx packet loss burst length (packets)_3,Rx instant jitter (ms)_3,Tx instant jitter (ms)_3,Rx RFC3550 jitter (ms)_3,Tx RFC3550 jitter (ms)_3,network
1,2,4228406.5,3.4401815,428955.6,6.544093,155,1.2409507,1.190044,24.503,4.0077,5.564687,1.3794036,4254681.5,6.9422655,639432.6,11.951967,157,2.7101302,1.4580921,11.5112,6.8099,3.8961344,2.499936,3921210.2,3.6510885,513381.25,9.301498,135.2552,1.9774808,1.5559286,59.326797,1.7299999,13.8757305,0.7155297,
1,2,4279444.5,3.6933415,470362.25,6.6425257,163,1.1811029,1.4045624,14.196,6.1826,4.766735,1.9800855,4573047,4.2817087,666178.9,10.574825,150,1.06518,1.4938048,21.8494,5.232,4.6926622,1.0536091,3940635.8,3.7383418,589641.2,9.422961,135.2552,1.3077546,1.5559286,1.4007,1.7074,6.670087,1.3893417,
1,2,4171566,3.6384077,444211.28,7.326044,153,1.1429533,1.4812882,14.679199,4.2357,4.975765,1.3922827,4704223.5,2.9115555,669724.1,10.572272,149,1.1903244,1.5273695,13.186299,2.7402,4.641525,1.0776742,3669462,3.3138025,640976.8,9.422962,135.2552,1.3603793,1.5559285,17.1576,1.7074,6.0079484,1.0592303,
1,2,4102844.5,3.998892,443424.2,7.808877,139,1.1613746,1.4799925,15.1208,5.3062,5.1152697,1.4226865,4773964,3.4387662,620034.94,9.990577,141.022,1.190325,1.5364103,12.597,1.9526999,4.4031196,1.3649555,3642817.8,3.400643,643398.25,9.506096,141,1.3406048,1.555928,25.226599,2.0873,7.414888,1.1771024,
1,2,3975004.8,4.7095284,411216.1,8.952377,83,1.1706157,1.5157716,13.134999,5.7806,5.7814636,2.6809618,4817903,3.2926388,517723.34,10.425314,151,3.821283,1.7557392,15.1542,15.4114,4.9635744,3.4054031,3580498.8,4.2012744,681175.7,8.116703,162.6302,1.3406051,1.3542857,17.0793,1.7773999,6.5919924,1.1015222,
1,2,4016613.8,4.8715615,465957.94,7.746888,83,1.2154862,1.3310386,87.5008,4.3492,12.304196,1.2174205,4350825,3.2926385,535293.6,10.721974,139,3.8212802,1.7676867,12.3744,5.0671,4.3128667,1.1942018,3626614.5,4.919625,685179.6,6.323839,141,1.3620538,1.3215318,21.3949,2.0873,6.5255704,1.5287975,3
1,2,3573557.5,4.967768,522148.2,7.0396237,120,1.2763036,1.31663,20.208199,4.2151,5.572544,1.3876305,4151546.8,3.2926393,544848.5,9.913995,139,3.821282,1.7325817,16.479599,11.697499,5.1421523,1.7397325,3560637.8,4.4193187,590002.4,8.874207,138,1.5670221,1.4150821,15.7631,2.0115,6.9339128,0.7021492,
1,2,3370430.5,5.3143954,596217.5,8.21864,120,1.3230927,1.3721341,16.3144,1.7398,5.837498,1.1251705,4199449.5,3.2926393,535748.6,9.732609,74.7553,3.8212812,1.4434798,13.302199,3.8081,5.532403,1.8152802,3914378.5,3.60511,624134.7,8.774827,136,1.3034557,1.4544166,22.8284,4.1868,7.249832,2.3248668,
1,2,3288974,6.311696,621863.6,8.519189,84,1.3387208,1.3785073,15.542,2.5953,5.703163,1.0913851,3971441.2,3.6498275,563455.5,7.9276905,74.7553,1.0941266,1.5729132,120.0729,0.9044,11.66783,1.5936381,3804916.2,3.0412388,600291.6,8.294,136,1.2375286,1.5153557,127.271095,10.6247,14.150637,3.41049,
1,2,3402081.5,7.1664853,698615.1,8.68494,84,1.3640178,1.3024715,13.410299,2.3186,6.105141,0.84862715,3911677.5,3.6630213,521087.16,7.3483653,162.3109,1.0941267,1.516853,9.418099,0.9044,4.440826,1.5342342,3772269.5,3.0519333,657151.5,7.603015,116,1.1442819,1.5930134,26.572899,4.4811997,6.060525,1.9170997,
1,2,3234141,8.445492,700594.75,8.014577,151.4029,1.3412626,1.2949171,13.104899,1.4463999,4.3081107,0.8908561,4322736.5,3.6741636,548084.25,6.6306086,140,1.0941266,1.5494175,15.03,6.2728996,5.4339576,2.059966,3727419,3.0606742,809717.5,9.037544,116,1.3264061,1.6968693,24.4286,3.2839,5.9950533,2.775444,
1,2,3649515,7.3163047,678275.5,8.148171,151.4029,1.367271,1.3514879,17.9806,2.4845,5.074516,0.95711213,4555711,3.539414,527483.44,7.434898,132,1.1748555,1.5285381,25.900599,7.1211996,4.996915,1.6303277,3783128.5,3.540898,805301.75,9.657616,163,1.3542546,1.588854,25.2586,4.9056997,5.95325,1.3917874,
1,2,3945898,5.7177696,620473.1,8.943385,109,1.4488599,1.4484166,16.921999,2.6359,6.241997,0.92676455,4764168,2.7672026,571307.1,7.251917,107,1.2109202,1.4512033,16.435099,8.914599,5.956704,1.5494535,3709650.8,3.7950673,844232.1,10.052939,168.406,1.3842123,1.569162,34.5484,6.5175,7.235885,1.6543909,
1,2,4074977.8,5.780134,703141.5,8.79004,109,1.2295488,1.4388477,17.9834,2.6959999,6.41849,1.0537741,4784198,2.6374655,679742.6,7.763773,107,1.2819252,1.3720709,2.5063,13.4915,5.737374,3.5288405,3748507.8,3.9913104,885430.4,8.024564,146.6932,1.3779588,1.2432432,17.4105,5.3387,6.3087077,1.6543909,
1,2,3976880,4.7560964,728069.4,8.744257,158,1.2260716,1.487698,31.942999,1.7922,6.709216,0.89977145,4809195.5,2.6831717,649528.25,7.892783,131,1.088428,1.4737327,21.4128,0.15879999,5.439247,0.88749915,3752136,4.022144,813116.6,7.0709615,133,1.379462,1.2832747,14.7772,9.0882,5.887906,3.23948,
1,2,3764747.8,5.1354957,697460.1,10.739812,158,1.2640473,1.5581952,19.7079,2.7552,5.9060984,1.008956,4805353,2.2547371,675625.6,7.950689,140,1.0735952,1.4737325,10.1774,0.15879999,6.1381907,0.88749915,3779556.5,4.185214,657674.4,7.1489,93,1.3567358,1.2304381,17.871399,32.098,6.338826,6.3220844,3
1,2,3469109,6.0480022,613466.75,11.294441,113,1.2775593,1.5011921,13.586499,9.9727,6.2502117,3.3497434,4758934.5,1.848944,697525.5,7.998762,157,2.1135144,1.4737327,17.8541,1.5381999,5.568871,0.9360791,3695695.5,4.7023168,651652.1,7.3104167,93,1.4052957,1.2666463,207.88829,106.449394,21.343367,12.792748,
1,2,3290783.5,5.451305,611693,10.133036,113,1.3308308,1.4452348,124.7252,2.8595,12.66147,1.3378587,4800438,2.5146513,757295.06,8.038573,157,2.113513,1.473733,15.1559,1.1741999,5.6898894,0.8959377,3648501.5,3.647769,524232.75,7.6911077,160,1.1601546,1.3420217,107.2593,2.5396,10.690485,0.71718764,
1,2,3163518.5,6.0189905,546374.1,9.634323,131,1.31166,1.4193441,15.2119,2.8595,5.041834,1.3626559,4791943.5,1.7588098,700600.56,7.7628827,113,1.7228498,1.50455,13.4044,1.1276,5.4792542,0.9165793,3757282.2,3.653251,546043,9.002477,136.563,1.1459211,1.3059372,16,1.7138,5.7937117,1.0316105,
1,2,3304342.2,7.366358,432275.72,12.029633,169,1.3116606,1.4278617,13.932799,3.4066,4.041581,1.3531729,4846544.5,2.6899571,724104.5,7.7628784,113,3.0718613,1.50455,23.7521,1.1276,5.1328917,0.9165793,3763652.2,3.7801828,548843.56,7.5365024,136.563,1.1768111,1.3412528,20.1252,12.5096,6.324002,2.942823,
